label;uniprotAccs;region_name;Score_Max;hemisphere
1;NA;A;12600-13999;left
2;NA;AB;0-01400;left
3;NA;AC;01400-02799;left
4;NA;ACH;0-01400;left
5;NA;AD;12600-13999;left
6;NA;ADB;01400-02799;left
7;NA;ADC;04200-05599;left
8;NA;ADCE;01400-02799;left
9;NA;ADCG;02800-04199;left
10;NA;ADCH;01400-02799;left
11;NA;ADCI;01400-02799;left
12;NA;ADCJ;0-01400;left
13;NA;ADCK;01400-02799;left
14;NA;ADCL;01400-02799;left
15;NA;ADE;02800-04199;left
16;NA;ADEC;01400-02799;left
17;NA;ADEF;0-01400;left
18;NA;ADEG;01400-02799;left
19;NA;ADEH;01400-02799;left
20;NA;ADEK;01400-02799;left
21;NA;ADEL;02800-04199;left
22;NA;ADEM;01400-02799;left
23;NA;ADF;12600-13999;left
24;NA;ADFB;12600-13999;left
25;NA;ADFBC;04200-05599;left
26;NA;ADFBCG;01400-02799;left
27;NA;ADFBCH;02800-04199;left
28;NA;ADFBE;12600-13999;left
29;NA;ADFBEC;12600-13999;left
30;NA;ADFBECG;05600-06999;left
31;NA;ADFBECH;07000-08399;left
32;NA;ADFBECHM;02800-04199;left
33;NA;ADFBECI;05600-06999;left
34;NA;ADFBECJ;05600-06999;left
35;NA;ADFBECK;07000-08399;left
36;NA;ADFBECKH;04200-05599;left
37;NA;ADFBECKI;04200-05599;left
38;NA;ADFBECKJ;04200-05599;left
39;NA;ADFBECKL;04200-05599;left
40;NA;ADFBECKM;05600-06999;left
41;NA;ADFBECL;05600-06999;left
42;NA;ADFBECM;12600-13999;left
43;NA;ADFBECMG;05600-06999;left
44;NA;ADFBECMH;05600-06999;left
45;NA;ADFBECMI;07000-08399;left
46;NA;ADFBECMIG;07000-08399;left
47;NA;ADFBECMIH;07000-08399;left
48;NA;ADFBECMIJ;07000-08399;left
49;NA;ADFBECMIK;07000-08399;left
50;NA;ADFBECMIL;05600-06999;left
51;NA;ADFBECMJ;07000-08399;left
52;NA;ADFBECMK;12600-13999;left
53;NA;ADFBECMKG;09800-11199;left
54;NA;ADFBECMKGJ;07000-08399;left
55;NA;ADFBECMKH;12600-13999;left
56;NA;ADFBECMKHG;12600-13999;left
57;NA;ADFBECMKHGI;12600-13999;left
58;NA;ADFBECMKHGIJ;12600-13999;left
59;NA;ADFBECMKHGIL;12600-13999;left
60;NA;ADFBECMKHGILJ;12600-13999;left
61;NA;ADFBECMKHGJ;11200-12599;left
62;NA;ADFBECMKHGL;11200-12599;left
63;NA;ADFBECMKHI;08400-09799;left
64;NA;ADFBECMKHJ;09800-11199;left
65;NA;ADFBECMKHL;08400-09799;left
66;NA;ADFBECMKI;07000-08399;left
67;NA;ADFBECMKJ;09800-11199;left
68;NA;ADFBECMKJG;08400-09799;left
69;NA;ADFBECMKJH;09800-11199;left
70;NA;ADFBECMKJI;09800-11199;left
71;NA;ADFBECMKJL;07000-08399;left
72;NA;ADFBECMKL;07000-08399;left
73;NA;ADFBECML;05600-06999;left
74;NA;ADFBEG;04200-05599;left
75;NA;ADFBEH;04200-05599;left
76;NA;ADFBEI;04200-05599;left
77;NA;ADFBEJ;02800-04199;left
78;NA;ADFBEK;04200-05599;left
79;NA;ADFBEL;04200-05599;left
80;NA;ADFBEM;04200-05599;left
81;NA;ADFBG;02800-04199;left
82;NA;ADFBH;02800-04199;left
83;NA;ADFBI;02800-04199;left
84;NA;ADFBJ;04200-05599;left
85;NA;ADFBJC;02800-04199;left
86;NA;ADFBJI;02800-04199;left
87;NA;ADFBJL;02800-04199;left
88;NA;ADFBJM;01400-02799;left
89;NA;ADFBK;02800-04199;left
90;NA;ADFBL;02800-04199;left
91;NA;ADFBM;02800-04199;left
92;NA;ADFC;01400-02799;left
93;NA;ADFE;02800-04199;left
94;NA;ADFEH;01400-02799;left
95;NA;ADFEL;01400-02799;left
96;NA;ADFEM;01400-02799;left
97;NA;ADFG;02800-04199;left
98;NA;ADFGH;01400-02799;left
99;NA;ADFH;01400-02799;left
100;NA;ADFI;01400-02799;left
101;NA;ADFJ;04200-05599;left
102;NA;ADFJH;01400-02799;left
103;NA;ADFJM;01400-02799;left
104;NA;ADFK;02800-04199;left
105;NA;ADFL;02800-04199;left
106;NA;ADFM;04200-05599;left
107;NA;ADFMB;02800-04199;left
108;NA;ADFMC;02800-04199;left
109;NA;ADFME;01400-02799;left
110;NA;ADFMG;02800-04199;left
111;NA;ADFMH;02800-04199;left
112;NA;ADFMI;01400-02799;left
113;NA;ADFMJ;02800-04199;left
114;NA;ADFMK;01400-02799;left
115;NA;ADG;02800-04199;left
116;NA;ADGC;0-01400;left
117;NA;ADGH;0-01400;left
118;NA;ADH;02800-04199;left
119;NA;ADHM;0-01400;left
120;NA;ADI;02800-04199;left
121;NA;ADIM;01400-02799;left
122;NA;ADJ;01400-02799;left
123;NA;ADK;02800-04199;left
124;NA;ADKB;0-01400;left
125;NA;ADL;01400-02799;left
126;NA;ADM;01400-02799;left
127;NA;AE;01400-02799;left
128;NA;AEB;0-01400;left
129;NA;AF;01400-02799;left
130;NA;AG;01400-02799;left
131;NA;AH;01400-02799;left
132;NA;AI;01400-02799;left
133;NA;AJ;01400-02799;left
134;NA;AK;01400-02799;left
135;NA;AL;01400-02799;left
136;NA;AM;04200-05599;left
137;NA;AMD;0-01400;left
138;NA;AME;0-01400;left
139;NA;AMH;0-01400;left
140;NA;AMJ;0-01400;left
141;NA;AMK;0-01400;left
142;Q8TAA3;PSMA8_A;Q8TAA3;right
143;P28070;PSMB4_B;P28070;right
144;P28074;PSMB5_C;P28074;right
145;P49721;PSMB2_D;P49721;right
146;P20618;PSMB1_E;P20618;right
147;O14818;PSMA1_F;O14818;right
148;P28072;PSMB6_G;P28072;right
149;Q99436;PSMB7_H;Q99436;right
150;P25789;PSMA4_I;P25789;right
151;P25788;PSMA3_J;P25788;right
152;P60900;PSMA6_K;P60900;right
153;P28066;PSMA5_L;P28066;right
154;P25787;PSMA2_M;P25787;right
155;Q8TAA3;PSMA8_A;Q8TAA3;right
156;P28070;PSMB4_B;P28070;right
157;P28074;PSMB5_C;P28074;right
158;P49721;PSMB2_D;P49721;right
159;P20618;PSMB1_E;P20618;right
160;O14818;PSMA1_F;O14818;right
161;P28072;PSMB6_G;P28072;right
162;Q99436;PSMB7_H;Q99436;right
163;P25789;PSMA4_I;P25789;right
164;P25788;PSMA3_J;P25788;right
165;P60900;PSMA6_K;P60900;right
166;P28066;PSMA5_L;P28066;right
167;P25787;PSMA2_M;P25787;right
168;Q8TAA3;PSMA8_A;Q8TAA3;right
169;P28070;PSMB4_B;P28070;right
170;P28074;PSMB5_C;P28074;right
171;P49721;PSMB2_D;P49721;right
172;P20618;PSMB1_E;P20618;right
173;O14818;PSMA1_F;O14818;right
174;P28072;PSMB6_G;P28072;right
175;Q99436;PSMB7_H;Q99436;right
176;P25789;PSMA4_I;P25789;right
177;P25788;PSMA3_J;P25788;right
178;P60900;PSMA6_K;P60900;right
179;P28066;PSMA5_L;P28066;right
180;P25787;PSMA2_M;P25787;right
181;Q8TAA3;PSMA8_A;Q8TAA3;right
182;P28070;PSMB4_B;P28070;right
183;P28074;PSMB5_C;P28074;right
184;P49721;PSMB2_D;P49721;right
185;P20618;PSMB1_E;P20618;right
186;O14818;PSMA1_F;O14818;right
187;P28072;PSMB6_G;P28072;right
188;Q99436;PSMB7_H;Q99436;right
189;P25789;PSMA4_I;P25789;right
190;P25788;PSMA3_J;P25788;right
191;P60900;PSMA6_K;P60900;right
192;P28066;PSMA5_L;P28066;right
193;P25787;PSMA2_M;P25787;right
194;Q8TAA3;PSMA8_A;Q8TAA3;right
195;P28070;PSMB4_B;P28070;right
196;P28074;PSMB5_C;P28074;right
197;P49721;PSMB2_D;P49721;right
198;P20618;PSMB1_E;P20618;right
199;O14818;PSMA1_F;O14818;right
200;P28072;PSMB6_G;P28072;right
201;Q99436;PSMB7_H;Q99436;right
202;P25789;PSMA4_I;P25789;right
